entry_time,entry_price,entry_dir,exit_time,exit_price,exit_reason,entry_reason,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl
2025-12-10 09:00:00,28279.0,LONG,2025-12-10 10:00:00,28292.0,"ATR移動停利(啟動: K=2 * ATR35=59.03點, 回落: K=2 * ATR25=56.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,13.0,2.0,4.0,9.0,1800.0
2025-12-10 10:30:00,28305.0,LONG,2025-12-10 18:45:00,28373.0,"ATR移動停利(啟動: K=2 * ATR35=61.31點, 回落: K=2 * ATR25=52.00點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,68.0,2.0,4.0,64.0,12800.0
2025-12-10 19:30:00,28401.0,LONG,2025-12-11 09:15:00,28535.0,"ATR移動停利(啟動: K=2 * ATR35=82.86點, 回落: K=2 * ATR25=93.04點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,134.0,2.0,4.0,130.0,26000.0
2025-12-11 13:00:00,28122.0,SHORT,2025-12-11 15:30:00,28125.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-3.0,2.0,4.0,-7.0,-1400.0
2025-12-11 15:45:00,28137.0,SHORT,2025-12-11 21:15:00,28263.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-126.0,2.0,4.0,-130.0,-26000.0
2025-12-12 02:15:00,28283.0,LONG,2025-12-12 09:30:00,28268.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-15.0,2.0,4.0,-19.0,-3800.0
2025-12-12 09:45:00,28332.0,LONG,2025-12-12 11:30:00,28253.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-79.0,2.0,4.0,-83.0,-16600.0
2025-12-12 12:30:00,28192.0,SHORT,2025-12-12 13:45:00,28270.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-78.0,2.0,4.0,-82.0,-16400.0
2025-12-12 15:45:00,28283.0,LONG,2025-12-12 17:45:00,28258.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-25.0,2.0,4.0,-29.0,-5800.0
2025-12-12 18:30:00,28287.0,LONG,2025-12-12 18:45:00,28257.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-30.0,2.0,4.0,-34.0,-6800.0
2025-12-12 20:00:00,28215.0,SHORT,2025-12-12 22:15:00,28263.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-48.0,2.0,4.0,-52.0,-10400.0
2025-12-12 22:45:00,28225.0,SHORT,2025-12-15 09:30:00,27868.0,"ATR移動停利(啟動: K=2 * ATR35=126.00點, 回落: K=2 * ATR25=141.60點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,357.0,2.0,4.0,353.0,70600.0
2025-12-15 12:15:00,27909.0,SHORT,2025-12-15 17:00:00,27935.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-26.0,2.0,4.0,-30.0,-6000.0
2025-12-15 23:15:00,27850.0,SHORT,2025-12-16 00:45:00,27923.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-73.0,2.0,4.0,-77.0,-15400.0
2025-12-16 01:00:00,27835.0,SHORT,2025-12-16 12:45:00,27647.0,"ATR移動停利(啟動: K=2 * ATR35=133.66點, 回落: K=2 * ATR25=132.80點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,188.0,2.0,4.0,184.0,36800.0
2025-12-16 16:00:00,27594.0,SHORT,2025-12-17 15:30:00,27823.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-229.0,2.0,4.0,-233.0,-46600.0
2025-12-18 00:00:00,27674.0,SHORT,2025-12-18 10:00:00,27631.0,"ATR移動停利(啟動: K=2 * ATR35=146.69點, 回落: K=2 * ATR25=151.60點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,43.0,2.0,4.0,39.0,7800.0
2025-12-18 11:30:00,27555.0,SHORT,2025-12-18 12:45:00,27558.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-3.0,2.0,4.0,-7.0,-1400.0
2025-12-19 21:15:00,27893.0,SHORT,2025-12-19 22:00:00,27940.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-47.0,2.0,4.0,-51.0,-10200.0
2025-12-19 23:00:00,28102.0,LONG,2025-12-22 09:45:00,28198.0,"ATR移動停利(啟動: K=2 * ATR35=78.80點, 回落: K=2 * ATR25=70.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,96.0,2.0,4.0,92.0,18400.0
2025-12-22 10:00:00,28178.0,LONG,2025-12-22 20:15:00,28314.0,"ATR移動停利(啟動: K=2 * ATR35=54.46點, 回落: K=2 * ATR25=44.40點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,136.0,2.0,4.0,132.0,26400.0
2025-12-22 20:45:00,28338.0,LONG,2025-12-22 23:00:00,28306.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-32.0,2.0,4.0,-36.0,-7200.0
2025-12-23 00:30:00,28367.0,LONG,2025-12-23 10:45:00,28386.0,"ATR移動停利(啟動: K=2 * ATR35=61.20點, 回落: K=2 * ATR25=50.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,19.0,2.0,4.0,15.0,3000.0
2025-12-23 11:15:00,28393.0,LONG,2025-12-23 20:45:00,28439.0,"ATR移動停利(啟動: K=2 * ATR35=42.63點, 回落: K=2 * ATR25=36.16點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,46.0,2.0,4.0,42.0,8400.0
2025-12-23 21:15:00,28463.0,LONG,2025-12-24 09:45:00,28517.0,"ATR移動停利(啟動: K=2 * ATR35=54.29點, 回落: K=2 * ATR25=41.28點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,54.0,2.0,4.0,50.0,10000.0
2025-12-24 16:15:00,28475.0,LONG,2025-12-24 21:30:00,28499.0,"ATR移動停利(啟動: K=2 * ATR35=36.91點, 回落: K=2 * ATR25=28.96點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,24.0,2.0,4.0,20.0,4000.0
2025-12-24 22:00:00,28510.0,LONG,2025-12-25 02:30:00,28518.0,"ATR移動停利(啟動: K=2 * ATR35=34.46點, 回落: K=2 * ATR25=37.92點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,8.0,2.0,4.0,4.0,800.0
2025-12-25 03:45:00,28540.0,LONG,2025-12-26 09:30:00,28571.0,"ATR移動停利(啟動: K=2 * ATR35=44.34點, 回落: K=2 * ATR25=45.68點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,31.0,2.0,4.0,27.0,5400.0
2025-12-26 09:45:00,28560.0,LONG,2025-12-26 21:30:00,28684.0,"ATR移動停利(啟動: K=2 * ATR35=36.17點, 回落: K=2 * ATR25=27.68點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,124.0,2.0,4.0,120.0,24000.0
2025-12-26 21:45:00,28690.0,LONG,2025-12-29 16:30:00,28896.0,"ATR移動停利(啟動: K=2 * ATR35=66.11點, 回落: K=2 * ATR25=80.48點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,206.0,2.0,4.0,202.0,40400.0
2025-12-30 10:15:00,28818.0,LONG,2025-12-30 15:30:00,28845.0,"ATR移動停利(啟動: K=2 * ATR35=68.34點, 回落: K=2 * ATR25=76.88點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,27.0,2.0,4.0,23.0,4600.0
2025-12-30 17:00:00,28841.0,LONG,2025-12-31 04:30:00,28900.0,"ATR移動停利(啟動: K=2 * ATR35=45.60點, 回落: K=2 * ATR25=48.32點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,59.0,2.0,4.0,55.0,11000.0
2025-12-31 11:00:00,28948.0,LONG,2025-12-31 18:15:00,29004.0,"ATR移動停利(啟動: K=2 * ATR35=72.69點, 回落: K=2 * ATR25=58.32點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,56.0,2.0,4.0,52.0,10400.0
2025-12-31 19:00:00,29013.0,LONG,2026-01-01 00:15:00,29035.0,"ATR移動停利(啟動: K=2 * ATR35=44.63點, 回落: K=2 * ATR25=43.92點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,22.0,2.0,4.0,18.0,3600.0
2026-01-01 01:15:00,29062.0,LONG,2026-01-01 04:30:00,29020.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-42.0,2.0,4.0,-46.0,-9200.0
2026-01-02 09:15:00,29110.0,LONG,2026-01-02 22:15:00,29562.0,"ATR移動停利(啟動: K=2 * ATR35=61.66點, 回落: K=2 * ATR25=56.00點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,452.0,2.0,4.0,448.0,89600.0
2026-01-02 23:00:00,29642.0,LONG,2026-01-02 23:30:00,29651.0,"ATR移動停利(啟動: K=2 * ATR35=73.54點, 回落: K=2 * ATR25=76.32點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,9.0,2.0,4.0,5.0,1000.0
2026-01-03 00:00:00,29688.0,LONG,2026-01-05 19:00:00,30312.0,"ATR移動停利(啟動: K=2 * ATR35=139.66點, 回落: K=2 * ATR25=96.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,624.0,2.0,4.0,620.0,124000.0
2026-01-05 20:00:00,30338.0,LONG,2026-01-06 01:45:00,30316.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-22.0,2.0,4.0,-26.0,-5200.0
2026-01-06 10:00:00,30320.0,LONG,2026-01-06 16:45:00,30496.0,"ATR移動停利(啟動: K=2 * ATR35=99.31點, 回落: K=2 * ATR25=116.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,176.0,2.0,4.0,172.0,34400.0
2026-01-06 19:15:00,30527.0,LONG,2026-01-07 00:00:00,30565.0,"ATR移動停利(啟動: K=2 * ATR35=73.26點, 回落: K=2 * ATR25=66.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,38.0,2.0,4.0,34.0,6800.0
2026-01-07 01:30:00,30573.0,LONG,2026-01-07 12:45:00,30515.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-58.0,2.0,4.0,-62.0,-12400.0
2026-01-08 10:00:00,30579.0,LONG,2026-01-12 09:15:00,30706.0,"ATR移動停利(啟動: K=2 * ATR35=92.97點, 回落: K=2 * ATR25=90.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,127.0,2.0,4.0,123.0,24600.0
2026-01-12 12:00:00,30716.0,LONG,2026-01-12 18:30:00,30688.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-28.0,2.0,4.0,-32.0,-6400.0
2026-01-12 21:15:00,30739.0,LONG,2026-01-13 09:30:00,31007.0,"ATR移動停利(啟動: K=2 * ATR35=100.63點, 回落: K=2 * ATR25=95.68點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,268.0,2.0,4.0,264.0,52800.0
2026-01-13 15:45:00,30906.0,LONG,2026-01-13 23:30:00,30924.0,"ATR移動停利(啟動: K=2 * ATR35=79.77點, 回落: K=2 * ATR25=84.80點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,18.0,2.0,4.0,14.0,2800.0
2026-01-14 00:15:00,31020.0,LONG,2026-01-14 02:00:00,30994.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-26.0,2.0,4.0,-30.0,-6000.0
